id,name,veg_items,total_items,vegetarian_percentage,recommendation,vegetarian_scale
ChIJ0xmPXXUDdkgR83zodK1GNX8,Persepolis Peckham,27,31,87.1,,5
ChIJ116rKF4PdkgRJylL-GGjPDo,Tendrils,13,13,100,,5+
ChIJ1dnslv0FdkgR1P_tKcf2Y-E,Bubala,10,10,100,,5+
ChIJ2RgEeicbdkgRZwQczgnQNN8,Rovi,13,19,68.42,Great for Meat Eaters Too,4
ChIJ32rOiaYFdkgRZa-h0HM5IAI,Holy Carrot,23,23,100,,5+
ChIJ4RxH91wddkgRmkKD262TBq8,Flat Earth Pizza,19,19,100,,5+
ChIJCUncNegcdkgRIDO5d6I5m8E,Aya & Suki,30,30,100,,5+
ChIJD4Ej9WwDdkgRsIaLtlVaDzU,Naifs,10,10,100,,5+
ChIJDcxkWbEddkgR8DW-LesUYMg,Oliveira Kitchen,18,18,100,,5+
ChIJE0Hsc6gddkgR9_LjrWFKkLQ,Temple of Seitan,4,4,100,,5+
ChIJe-llZuAFdkgR3oiB57zrimE,Sagar,10,10,100,,5+
ChIJG12MhF4FdkgR4_KXb6Wi2E0,Club Mexicana,20,20,100,,5+
ChIJHUylZR4RdkgRqtRHULzIPbI,Holy Carrot,10,10,100,,5+
ChIJhwEleEsDdkgRnVjBTfuoKAY,Thai Square Minories,0,31,0,,1
ChIJicTFEbADdkgRJTJMF_RX50o,Mallow,18,18,100,Pure Veggie,5+
ChIJIWTiZiEDdkgR2BGTzzgcnAc,Legare,17,27,62.96,Great for Meat Eaters Too,4
ChIJk7lTkwEFdkgRoBblIAt48gc,Lahpet,16,24,66.67,Great for Meat Eaters Too,4
ChIJMXl1GrcPdkgRk8p4Yntqsw8,The Gate Hammersmith,17,17,100,Pure Veggie,5+
ChIJ--NV5KcEdkgRhBQJ-YpaAX8,Lupins,13,25,52,Great for Meat Eaters Too,3
ChIJP1JZWK4bdkgRxv8Y38db37Y,Loving Hut Archway,20,20,100,Pure Veggie,5+
ChIJp4ISpgcbdkgRTD7ek49zx0A,Palmyra's Kitchen,19,22,86.36,Great for Meat Eaters Too,5
ChIJP8v1-tIEdkgRAdetOMmCKDg,Gauthier,10,10,100,Pure Veggie,5+
ChIJQc70THUFdkgRDJOG51aJMks,Jam Delish,25,25,100,Pure Veggie,5+
ChIJrYGa4tIEdkgRGkur5G-08qg,Cay Tre,8,24,33.33,Great for Meat Eaters Too,2
ChIJWVh62uUddkgRb4L4RF5Ht_M,Bühler and Co,23,23,100,Pure Veggie,5+
ChIJXWnxCtQEdkgRcG32UcQZFVQ,Kricket,14,20,70,Great for Meat Eaters Too,4
