id,name,cuisine_type,country,city,address,rating,business_status,latitude,longitude,price_level,website,created_at,updated_at,location
ChIJ05ipQssEdkgRFQa0UBb-vpQ,Barrafina Drury Lane,Spanish,UK,London,"43 Drury Ln, London",4.5,OPERATIONAL,51.514378,-0.1218053,3,http://www.barrafina.co.uk/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000078BEFAD3A12EBFBF15E46723D7C14940
ChIJ1eoA5k4bdkgRlWOixgRdKHE,Ngon Ngon,Vietnamese,UK,London,"144 Clerkenwell Rd, London",4.6,OPERATIONAL,51.52216,-0.109744,2,https://ngonngon.co.uk/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000003BA6EECA2E18BCBFC2A38D23D6C24940
ChIJ1SQoZSwbdkgRX7bLXUu3bIc,ROKA Charlotte Street,,UK,London,"37 Charlotte St., London W1T 1RR, UK",4.4,OPERATIONAL,51.5189387,-0.1355877,4,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000B5B39E10F05AC1BF7B9054956CC24940
ChIJ24yIUy0bdkgR81HVasgZ1ho,Flat Iron,Steakhouse,UK,London,"9 Denmark St, London",4.6,OPERATIONAL,51.51516,-0.1295533,2,https://flatironsteak.co.uk/restaurant/tottenham-court-road/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000051604BD93395C0BF8B1A4CC3F0C14940
ChIJ27sOgusPdkgRWS98qRmEHWI,The Tartine Restaurant,French,UK,London,"133A Notting Hill Gate, London",4.6,OPERATIONAL,51.508495,-0.1991115,-1,https://thetartine.co.uk/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000E4F560527C7CC9BFFB96395D16C14940
ChIJ2UE2CjMbdkgRSHrfCpzDwXY,Pane Cunzato - Italian Pizza Restaurant,Italian,UK,London,"49 Museum St, London",4.5,OPERATIONAL,51.517426,-0.1251003,2,http://www.panecunzato.com/?utm_source=googlemaps&utm_medium=googlemaps-link-profile&utm_campaign=social_media,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000000A229C604903C0BFD00CE2033BC24940
ChIJ2wsNyakddkgRnCzgzgPUtqI,Babel Grill House,Lebanese,UK,London,"40 Brick Ln, London",4.7,OPERATIONAL,51.518288,-0.0711429,2,http://www.babelgrillhouse.co.uk/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000087B4D7CC6B36B2BF62F4DC4257C24940
ChIJ6_3yMNUEdkgRgYFYwtACqqo,Liberty London,,UK,London,"Regent St., Carnaby, London W1B 5AH, UK",4.5,OPERATIONAL,51.5138717,-0.1400263,4,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E6100000AA398ABD61ECC1BF83EB408CC6C14940
ChIJ6-NV_ssddkgR4SA-qWwY9Kg,Taste of Jaipur,Indian,UK,London,"74 Brick Ln, London",4.7,OPERATIONAL,51.51902,-0.0714172,-1,https://tasteofjaipur.co.uk/,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E610000043345FCA6548B2BF26FC523F6FC24940
ChIJ8RopMswadkgR9enaFKp9dHI,Anacapri,Italian,UK,London,"10 Dorset St, London",4.4,OPERATIONAL,51.51962,-0.1558095,-1,,2025-01-03 14:47:47.083095+00,2025-01-03 14:47:47.083095+00,0101000020E61000007AFB73D190F1C3BF7C2C7DE882C24940
